kW;temperatura;año;mes;hora;día;estacion;tipo_dia
48;27,55;2019;1;0;1;verano;no habil
49,488;26,75;2019;1;1;1;verano;no habil
52,608;25,8;2019;1;2;1;verano;no habil
57,84;24,65;2019;1;3;1;verano;no habil
69,984;24,05;2019;1;4;1;verano;no habil
69,168;24,1;2019;1;5;1;verano;no habil
61,632;23,85;2019;1;6;1;verano;no habil
57,936;23,75;2019;1;7;1;verano;no habil
60,96;25,25;2019;1;8;1;verano;no habil
67,872;26,5;2019;1;9;1;verano;no habil
73,296;27,4;2019;1;10;1;verano;no habil
83,28;28,65;2019;1;11;1;verano;no habil
85,2;30;2019;1;12;1;verano;no habil
87,072;31,2;2019;1;13;1;verano;no habil
83,808;32,5;2019;1;14;1;verano;no habil
87,984;33,5;2019;1;15;1;verano;no habil
111,12;34,45;2019;1;16;1;verano;no habil
108,816;35,25;2019;1;17;1;verano;no habil
104,832;35,6;2019;1;18;1;verano;no habil
91,104;35,45;2019;1;19;1;verano;no habil
76,464;35,2;2019;1;20;1;verano;no habil
79,968;34,35;2019;1;21;1;verano;no habil
90,816;33,35;2019;1;22;1;verano;no habil
94,8;32,7;2019;1;23;1;verano;no habil
98,064;30,7;2019;1;0;2;verano;habil
104,256;30,1;2019;1;1;2;verano;habil
103,248;29,05;2019;1;2;2;verano;habil
105,264;28,1;2019;1;3;2;verano;habil
98,736;27,75;2019;1;4;2;verano;habil
94,08;27,55;2019;1;5;2;verano;habil
90,24;26,65;2019;1;6;2;verano;habil
75,168;25,7;2019;1;7;2;verano;habil
66,816;25,95;2019;1;8;2;verano;habil
61,104;26,4;2019;1;9;2;verano;habil
60,96;27,05;2019;1;10;2;verano;habil
63,792;28,15;2019;1;11;2;verano;habil
79,488;29,3;2019;1;12;2;verano;habil
99,408;30,15;2019;1;13;2;verano;habil
105,168;29,25;2019;1;14;2;verano;habil
103,008;28,5;2019;1;15;2;verano;habil
93,552;28,45;2019;1;16;2;verano;habil
84,096;27,7;2019;1;17;2;verano;habil
64,8;26,4;2019;1;18;2;verano;habil
39,648;25,95;2019;1;19;2;verano;habil
39,36;25,95;2019;1;20;2;verano;habil
43,248;25,5;2019;1;21;2;verano;habil
48,672;24,9;2019;1;22;2;verano;habil
48,432;24,55;2019;1;23;2;verano;habil
51,264;23,9;2019;1;0;3;verano;habil
51,408;23,3;2019;1;1;3;verano;habil
49,728;22,6;2019;1;2;3;verano;habil
50,736;22,35;2019;1;3;3;verano;habil
49,824;22,2;2019;1;4;3;verano;habil
48,72;21,75;2019;1;5;3;verano;habil
46,464;21,65;2019;1;6;3;verano;habil
32,544;21,35;2019;1;7;3;verano;habil
32,496;21;2019;1;8;3;verano;habil
29,088;21,35;2019;1;9;3;verano;habil
33,168;22,15;2019;1;10;3;verano;habil
36,096;23,65;2019;1;11;3;verano;habil
40,08;25,05;2019;1;12;3;verano;habil
55,872;25,6;2019;1;13;3;verano;habil
67,776;26,85;2019;1;14;3;verano;habil
72,624;27,95;2019;1;15;3;verano;habil
76,32;28,75;2019;1;16;3;verano;habil
83,856;29,4;2019;1;17;3;verano;habil
81,84;29,7;2019;1;18;3;verano;habil
69,12;29,95;2019;1;19;3;verano;habil
58,56;29,85;2019;1;20;3;verano;habil
52,32;29;2019;1;21;3;verano;habil
53,952;28,05;2019;1;22;3;verano;habil
62,832;27,2;2019;1;23;3;verano;habil
63,216;26,15;2019;1;0;4;verano;habil
55,968;25,4;2019;1;1;4;verano;habil
53,472;24,2;2019;1;2;4;verano;habil
52,608;23,75;2019;1;3;4;verano;habil
50,736;22,8;2019;1;4;4;verano;habil
51,696;21,65;2019;1;5;4;verano;habil
49,44;21,05;2019;1;6;4;verano;habil
34,32;20,7;2019;1;7;4;verano;habil
33,6;21,05;2019;1;8;4;verano;habil
34,56;21,8;2019;1;9;4;verano;habil
36,096;23,25;2019;1;10;4;verano;habil
34,608;25,1;2019;1;11;4;verano;habil
45,12;26,65;2019;1;12;4;verano;habil
63,792;28,3;2019;1;13;4;verano;habil
80,688;29,5;2019;1;14;4;verano;habil
89,472;30,4;2019;1;15;4;verano;habil
95,568;31,1;2019;1;16;4;verano;habil
91,92;31,55;2019;1;17;4;verano;habil
84,624;31,85;2019;1;18;4;verano;habil
67,584;31,85;2019;1;19;4;verano;habil
53,712;31,55;2019;1;20;4;verano;habil
62,976;30,3;2019;1;21;4;verano;habil
64,992;28,7;2019;1;22;4;verano;habil
68,112;27,95;2019;1;23;4;verano;habil
64,656;27,2;2019;1;0;5;verano;no habil
73,824;26,55;2019;1;1;5;verano;no habil
75,744;25,85;2019;1;2;5;verano;no habil
73,2;24,85;2019;1;3;5;verano;no habil
