kW;día;hora;temperatura;año;mes;estacion;tipo_dia
48;1;0;27,55;2019;1;verano;no habil
49,488;1;1;26,75;2019;1;verano;no habil
52,608;1;2;25,8;2019;1;verano;no habil
57,84;1;3;24,65;2019;1;verano;no habil
69,984;1;4;24,05;2019;1;verano;no habil
69,168;1;5;24,1;2019;1;verano;no habil
61,632;1;6;23,85;2019;1;verano;no habil
57,936;1;7;23,75;2019;1;verano;no habil
60,96;1;8;25,25;2019;1;verano;no habil
67,872;1;9;26,5;2019;1;verano;no habil
73,296;1;10;27,4;2019;1;verano;no habil
83,28;1;11;28,65;2019;1;verano;no habil
85,2;1;12;30;2019;1;verano;no habil
87,072;1;13;31,2;2019;1;verano;no habil
83,808;1;14;32,5;2019;1;verano;no habil
87,984;1;15;33,5;2019;1;verano;no habil
111,12;1;16;34,45;2019;1;verano;no habil
108,816;1;17;35,25;2019;1;verano;no habil
104,832;1;18;35,6;2019;1;verano;no habil
91,104;1;19;35,45;2019;1;verano;no habil
76,464;1;20;35,2;2019;1;verano;no habil
79,968;1;21;34,35;2019;1;verano;no habil
90,816;1;22;33,35;2019;1;verano;no habil
94,8;1;23;32,7;2019;1;verano;no habil
98,064;2;0;30,7;2019;1;verano;habil
104,256;2;1;30,1;2019;1;verano;habil
103,248;2;2;29,05;2019;1;verano;habil
105,264;2;3;28,1;2019;1;verano;habil
98,736;2;4;27,75;2019;1;verano;habil
94,08;2;5;27,55;2019;1;verano;habil
90,24;2;6;26,65;2019;1;verano;habil
75,168;2;7;25,7;2019;1;verano;habil
66,816;2;8;25,95;2019;1;verano;habil
61,104;2;9;26,4;2019;1;verano;habil
60,96;2;10;27,05;2019;1;verano;habil
63,792;2;11;28,15;2019;1;verano;habil
79,488;2;12;29,3;2019;1;verano;habil
;2;13;30,15;2019;1;verano;habil
105,168;2;14;29,25;2019;1;verano;habil
103,008;2;15;28,5;2019;1;verano;habil
93,552;2;16;28,45;2019;1;verano;habil
;2;17;27,7;2019;1;verano;habil
64,8;2;18;26,4;2019;1;verano;habil
